topic,mode,correctness,groundedness,completeness,coverage,source_consistency,rubric,present_sections,n_steps,n_sources,latency,stop_reason,comment,max_steps
Agentic AI for customer support,agent_steps_4,0,0,0,0,0,0.0,0,4,8,5.402663946151733,final_answer_generated,Evaluator did not return valid JSON.,4
Graph RAG for enterprise knowledge systems,agent_steps_4,0,0,0,0,0,0.0,0,4,8,13.561251878738403,final_answer_generated,Evaluator did not return valid JSON.,4
LLM evaluation and process-aware metrics,agent_steps_4,0,0,0,0,0,0.0,2,4,8,22.296163082122803,final_answer_generated,Evaluator did not return valid JSON.,4
Tool-using language models in scientific search,agent_steps_4,4,5,1,1,5,3.2,2,4,8,22.245763778686523,final_answer_generated,"Ответ содержит фактологически верную информацию, корректно отражающую содержание источников 1, 2 и 4 (определение ИИ, описание ChatGPT, автоматизация процедур). Однако генерация обрывается на середине предложения в разделе «Основные подходы», что критически снижает полноту и полезность ответа. Информация не противоречит источникам.",4
Retrieval-augmented generation in medicine,agent_steps_4,4,5,1,1,5,3.2,2,4,8,24.395288228988647,final_answer_generated,"Информация в ответе фактологически верна и подтверждается предоставленными источниками, однако ответ технически не завершен (обрывается на середине списка подпунктов '2.'), что критически снижает полноту и охват требуемой информации.",4
Planning and reflection in LLM agents,agent_steps_4,0,0,0,0,0,0.0,1,4,8,30.147271871566772,final_answer_generated,Evaluator did not return valid JSON.,4
Human-in-the-loop AI systems,agent_steps_4,0,0,0,0,0,0.0,0,4,8,6.387207984924316,final_answer_generated,Evaluator did not return valid JSON.,4
Knowledge graphs for procedural reasoning,agent_steps_4,0,0,0,0,0,0.0,0,4,8,7.616724014282227,final_answer_generated,Поле 'Ответ' пустое. Не предоставлен текст ответа для оценки на основе источников или запроса.,4
Agentic AI for customer support,agent_steps_6,5,5,3,4,5,4.4,2,4,8,17.895153760910034,final_answer_generated,"Ответ фактологически точен и полностью основан на предоставленных источниках. Раздел определения корректно передает информацию из источников. Однако раздел «Основные подходы» не содержит текстового описания или синтеза информации, ограничиваясь заголовком и списком источников, что снижает полноту ответа. Цитирование и соответствие содержанию источников корректны.",6
Graph RAG for enterprise knowledge systems,agent_steps_6,3,5,2,3,5,3.6,1,4,8,20.985728979110718,final_answer_generated,"Ответ хорошо обоснован предоставленными источниками и корректно синтезирует информацию о Graph RAG, Temporal Knowledge Graphs и Conceptual Graphs. Однако ответ обрывается на середине последнего предложения («прозрачности в процесса»), что существенно снижает полноту и корректность финальной части текста. Информация из источников (Zep, Gartman, Gao et al.) использована точно без противоречий.",6
LLM evaluation and process-aware metrics,agent_steps_6,0,0,0,0,0,0.0,2,4,8,23.788960218429565,final_answer_generated,Evaluator did not return valid JSON.,6
Tool-using language models in scientific search,agent_steps_6,5,5,2,3,5,4.0,2,4,8,30.89966893196106,final_answer_generated,"Ответ фактологически верен и полностью соответствует предоставленным источникам (1 и 2). Однако раздел «Основные подходы» обрывается и остается пустым, что критически снижает полноту ответа. Конкретные инструменты и примеры, перечисленные в источниках (например, в Таблице 1 источника 2), не включены в ответ.",6
Retrieval-augmented generation in medicine,agent_steps_6,0,0,0,0,0,0.0,2,4,8,31.90006184577942,final_answer_generated,Evaluator did not return valid JSON.,6
Planning and reflection in LLM agents,agent_steps_6,4,5,2,3,5,3.8,1,4,8,19.914968967437744,final_answer_generated,"Ответ содержит фактологически верные определения планирования и рефлексии, которые хорошо согласуются с предоставленными источниками (особенно с обзором Agentic AI). Однако текст ответа обрывается на середине последнего предложения (...способствующие динамичному и итеративному), что существенно снижает полноту и завершенность ответа.",6
Human-in-the-loop AI systems,agent_steps_6,0,0,0,0,0,0.0,0,4,8,5.904040098190308,final_answer_generated,"Поле 'Ответ' пустое. Невозможно оценить качество ответа, так как текст отсутствует.",6
Knowledge graphs for procedural reasoning,agent_steps_6,0,0,0,0,0,0.0,2,4,8,17.87031102180481,final_answer_generated,Evaluator did not return valid JSON.,6
Agentic AI for customer support,agent_steps_8,0,0,0,0,0,0.0,0,4,8,7.2527220249176025,final_answer_generated,Evaluator did not return valid JSON.,8
Graph RAG for enterprise knowledge systems,agent_steps_8,0,0,0,0,0,0.0,0,4,8,6.186751842498779,final_answer_generated,Evaluator did not return valid JSON.,8
LLM evaluation and process-aware metrics,agent_steps_8,0,0,0,0,0,0.0,2,4,8,26.857869148254395,final_answer_generated,Evaluator did not return valid JSON.,8
Tool-using language models in scientific search,agent_steps_8,0,0,0,0,0,0.0,0,4,8,5.6720147132873535,final_answer_generated,Evaluator did not return valid JSON.,8
Retrieval-augmented generation in medicine,agent_steps_8,0,0,0,0,0,0.0,0,4,8,6.969411134719849,final_answer_generated,Evaluator did not return valid JSON.,8
Planning and reflection in LLM agents,agent_steps_8,0,0,0,0,0,0.0,1,4,8,27.261947870254517,final_answer_generated,Evaluator did not return valid JSON.,8
Human-in-the-loop AI systems,agent_steps_8,0,0,0,0,0,0.0,2,4,8,19.76938796043396,final_answer_generated,Evaluator did not return valid JSON.,8
Knowledge graphs for procedural reasoning,agent_steps_8,0,0,0,0,0,0.0,0,4,8,6.388009309768677,final_answer_generated,"Ответ отсутствует в предоставленном тексте. Невозможно провести оценку по критериям корректности, заземленности, полноты и согласованности с источниками, так как отсутствует сам ответ.",8
